set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
10,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-5-cluster.jpg?raw=true
11,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-11-neuron-5-cluster.jpg?raw=true
12,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-12-neuron-5-cluster.jpg?raw=true
13,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-13-neuron-5-cluster.jpg?raw=true
14,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-14-neuron-5-cluster.jpg?raw=true
15,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-15-neuron-5-cluster.jpg?raw=true
16,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-16-neuron-5-cluster.jpg?raw=true
17,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-17-neuron-5-cluster.jpg?raw=true
18,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-18-neuron-5-cluster.jpg?raw=true
19,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-19-neuron-5-cluster.jpg?raw=true
