set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
12,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-12-neuron-5-cluster.jpg?raw=true
13,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-13-neuron-5-cluster.jpg?raw=true
14,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-14-neuron-5-cluster.jpg?raw=true
15,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-15-neuron-5-cluster.jpg?raw=true
16,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-16-neuron-5-cluster.jpg?raw=true
17,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-17-neuron-5-cluster.jpg?raw=true
18,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-18-neuron-5-cluster.jpg?raw=true
19,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-19-neuron-5-cluster.jpg?raw=true
20,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-20-neuron-5-cluster.jpg?raw=true
21,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-21-neuron-5-cluster.jpg?raw=true
22,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-22-neuron-5-cluster.jpg?raw=true
23,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-23-neuron-5-cluster.jpg?raw=true
24,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-24-neuron-5-cluster.jpg?raw=true
25,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-25-neuron-5-cluster.jpg?raw=true
26,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-26-neuron-5-cluster.jpg?raw=true
27,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-27-neuron-5-cluster.jpg?raw=true
28,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-28-neuron-5-cluster.jpg?raw=true
29,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-29-neuron-5-cluster.jpg?raw=true
30,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-30-neuron-5-cluster.jpg?raw=true
31,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-31-neuron-5-cluster.jpg?raw=true
